"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.9013229069412","4.6968178252385","4.95890140377645","4.85228704838131","7.7810908959605","12.0536179767696","11.0743789647307","12.2018301907814","8.88666018352578","","","","","",
"Africa Western and Central","AFW","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.17305056414187","2.01496821504011","4.35011884491608","7.97676918024597","10.1905320738466","10.6112339715733","11.2850858065096","25.8360610272673","23.2217366851526","23.145468821214","12.2238112230323","14.9960876543918","","",
"Albania","ALB","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5082167685541","18.047853036844","21.1949876792055","22.2438572106859","21.4603340500503","16.8424536921792","16.5545127518585","11.97172277931","10.4273900688183","7.97222983771095","7.65009174813949","5.39391025321323","4.78957460572704","",
"Andorra","AND","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.17812783392795","5.26698896173513","6.08629581295722","7.12965175228017","5.85229580988926","5.31214096469623","4.74620283630956","4.79735362210193","4.99704232082412","5.25650797811494","6.02686885240592","7.57146032262558","7.28694437688478","6.55317267111426","",
"Argentina","ARG","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.18084337444251","3.3907141955962","2.72684750122498","2.67920601141364","2.98195821294241","1.84399576317014","1.22770795872113","1.53673589612636","1.53372870982538","1.79255873857878","1.57420132816491","1.70027750562075","1.73479928371252","2.95778551361675","5.7029147138395","4.15006400338998","4.29211290587395","3.09401335778846","",
"Armenia","ARM","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.97208948345974","2.4475556859775","2.40401572394746","4.28418920018598","4.86361900244843","3.04141129948019","3.42109151341693","3.66922217057882","4.48533892299217","6.96975042813576","7.94971668385926","6.72411125058909","5.43231777940314","4.75439825091817","5.50666582915208","6.55481572888625","1.83298359761034","2.39795961089628","",
"American Samoa","ASM","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.54238304842407","8.65552703703775","7.93807051375576","6.35092928238182","5.3345601646961","6.25661001745179","6.7179766434396","","",
"Australia","AUS","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.564453032698765","0.574013140486956","0.559225604529488","1.35526208847002","2.01806458457878","2.14856125999861","1.96838634633669","1.70189150824109","1.36517488167218","1.01384449933768","0.88872549882617","0.947676353339703","0.857013750175751","0.901855193874304","0.961493162441897","1.10778271314938","0.912575245358043","0.721666972849021","",
"Austria","AUT","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.73942939162815","2.24246731582086","1.90306942802894","2.25042258658752","2.83071715205898","2.70681550509306","2.81336476630545","2.86654169526513","3.47337431453068","3.39283728404187","2.69521741465076","2.36889544229069","2.90095686469682","2.41057983492873","2.38904558369577","2.08460790714203","1.99024379279404","",
"Azerbaijan","AZE","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.56167104838046","",
"Burundi","BDI","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.31523574939506","7.39310710399005","8.16828544058576","9.88695195519018","10.8229150487183","17.9166965111326","21.0565185978806","14.1900852248363","12.6961594960479","","","","","",
"Belgium","BEL","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.28016415707089","1.16267286868485","1.66567893097526","3.11494720432571","2.83293355859471","3.34867691886338","3.79788657163647","4.318537467084","4.24739060198863","3.85093164747182","3.48452664274546","2.96174954064201","2.26826570545996","2.08706915566812","2.06995809018823","2.03126042204704","1.83865174031702","",
"Benin","BEN","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9042059394074","6.72327958982541","4.84439636539416","9.36516719804562","8.39790781352825","8.8585217562526","8.89566055291347","9.88732966644866","8.90213335235847","7.73754873370445","7.96907960398037","8.72436040117116","",
"Bulgaria","BGR","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.40390652919768","6.42293385932725","11.9177087634194","14.9736139565097","16.6263209293069","16.8785208328338","16.7465294214345","14.612050861519","13.1730655335127","10.434453416252","7.80156177334957","6.62129943689451","5.79835202186254","5.94059438427244","4.5273315980334","",
"Bahrain","BHR","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
